capability_id,roles,defined_by,implemented_in,status,limitation
kpi_lookup,data_analyst,analytics_execution_spec.md 2.1,engine/execution.py,IMPLEMENTED,
trend,data_analyst,analytics_execution_spec.md 2.4,engine/analytics_planner.py,IMPLEMENTED,
period_comparison,data_analyst,analytics_execution_spec.md 2.3,engine/change_detection.py,IMPLEMENTED,
segmentation,data_analyst,analytics_execution_spec.md 2.2,engine/dimension_resolution.py,IMPLEMENTED,
dimensional_analysis,data_analyst,business_dimensions.md,engine/dimension_resolver.py,IMPLEMENTED,
anomaly_surface,data_analyst,analytics_execution_spec.md 2.5,engine/analytics_planner.py,PARTIAL,analytics_execution_spec.md 2.5 leaves the statistical method to the implementation phase; no anomaly threshold exists in the exported evidence. Not determinable from exported evidence.
data_quality_check,data_analyst,data_quality_report.md,engine/insight_engine.py,IMPLEMENTED,
metric_reconciliation,data_analyst,analytics_execution_spec.md 8,engine/validator.py,IMPLEMENTED,
drill_down,data_analyst,analytics_execution_spec.md 2.2,engine/analytics_planner.py,IMPLEMENTED,
root_cause_exploration,data_analyst,analytics_execution_spec.md 2.6,engine/root_cause.py,IMPLEMENTED,
business_performance,business_analyst,business_insight_framework.md Part A,engine/executive_summary.py,IMPLEMENTED,
operational_efficiency,business_analyst,semantic_layer.md 7-9,engine/executive_summary.py,IMPLEMENTED,
business_risk_scan,business_analyst,analytics_execution_spec.md 2.8,engine/analytics_planner.py,IMPLEMENTED,
recommendation,business_analyst;decision_support_analyst,business_reasoning_spec.md 2,engine/business_reasoning.py,IMPLEMENTED,
cross_domain_synthesis,business_analyst,ai_agent_roles.md 1,engine/analyst_intelligence.py,IMPLEMENTED,
pnl,financial_analyst,semantic_layer.md 12,engine/calculators/financial.py,IMPLEMENTED,
revenue_analysis,financial_analyst,semantic_layer.md 1,engine/calculators/financial.py,IMPLEMENTED,
expense_analysis,financial_analyst,semantic_layer.md 10,engine/calculators/financial.py,IMPLEMENTED,
collections_analysis,financial_analyst,semantic_layer.md 2,engine/calculators/collections_.py,IMPLEMENTED,
ar_analysis,financial_analyst,semantic_layer.md 4,engine/calculators/receivables.py,IMPLEMENTED,
deposit_analysis,financial_analyst,semantic_layer.md 5,engine/calculators/deposits.py,IMPLEMENTED,
ledger_analysis,financial_analyst,semantic_layer.md 15,engine/calculators/ledger.py,IMPLEMENTED,
cash_movement,financial_analyst,semantic_layer.md 16,engine/calculators/financial.py,IMPLEMENTED,
owner_payment_analysis,financial_analyst,semantic_layer.md 11,engine/calculators/financial.py,IMPLEMENTED,
reconciliation,financial_analyst,semantic_layer.md 15,engine/calculators/risk_dq.py,IMPLEMENTED,
accounting_consistency,financial_analyst,business_dimensions.md 21,engine/validator.py,IMPLEMENTED,
occupancy_analysis,operations_analyst,semantic_layer.md 7,engine/calculators/occupancy.py,IMPLEMENTED,
bed_utilization,operations_analyst,semantic_layer.md 7,engine/calculators/occupancy.py,PARTIAL,Bed- and apartment-grain occupancy (M.OCC.003/M.OCC.004) carry no exported reference and are NOT_DETERMINABLE in the registry. Not determinable from exported evidence.
tenant_lifecycle,operations_analyst,semantic_layer.md 9,engine/calculators/occupancy.py,IMPLEMENTED,
maintenance_analysis,operations_analyst,semantic_layer.md 13,engine/calculators/maintenance.py,IMPLEMENTED,
eb_analysis,operations_analyst,semantic_layer.md 14,engine/calculators/eb.py,IMPLEMENTED,
operational_utilization,operations_analyst,semantic_layer.md 7-8,engine/calculators/occupancy.py,IMPLEMENTED,
trend_break,data_scientist,analytics_execution_spec.md 2.5,engine/change_detection.py,PARTIAL,Direction and size of a period change are computed; whether a break is material requires a threshold no specification fixes. Not determinable from exported evidence.
driver_analysis,data_scientist,analytics_execution_spec.md 2.6,engine/root_cause.py,IMPLEMENTED,
relationship_analysis,data_scientist,metric_dependency_graph.md,engine/root_cause.py,IMPLEMENTED,Restricted to dependency edges documented in metric_dependency_graph.md; no relationship is inferred from correlation alone.
pattern_discovery,data_scientist,business_insight_framework.md Part B,engine/insight_engine.py,IMPLEMENTED,
statistical_summary,data_scientist,analytics_execution_spec.md 2.5,engine/change_detection.py,NOT_IMPLEMENTED,"Descriptive analysis IS available -- counts, typical values, spread, and how measures moved together (see descriptive_analysis). What is not available is statistical INFERENCE: significance tests, p-values and confidence intervals. The monthly series repeat themselves almost exactly month to month, which leaves 41 months of revenue carrying well under one independent observation, so a test would return a number that means nothing. Not determinable from exported evidence."
revenue_forecast,data_scientist,"analytics_execution_spec.md 2.5 (multivariate Ridge on lagged invoiced revenue and activity drivers, validated by expanding-window walk-forward)",engine/forecasting.py,IMPLEMENTED,
forecast_scenario,data_scientist,analytics_execution_spec.md 2.5,engine/forecasting.py,NOT_IMPLEMENTED,"A driver-conditioned forecast ('revenue if occupancy were 80%') is not produced. The revenue forecast uses the previous month's bed occupancy alongside lagged tenant, rent, booking, move-in, move-out and notice activity; those measures move together, and the model is not validated for setting occupancy to a chosen level while holding the others fixed. Not determinable from exported evidence."
descriptive_analysis,data_scientist,analytics_execution_spec.md 2.5,engine/descriptive.py,IMPLEMENTED,"Descriptive only. It reports what the records look like and how measures moved together; it does not test significance and makes no causal claim. Correlations are reported on both levels and month-to-month changes, because the level figure alone mostly records that both measures grew."
kpi_card,bi_analyst,Phase 6 brief 11,engine/bi_contract.py,IMPLEMENTED,
trend_view,bi_analyst,analytics_execution_spec.md 2.4,engine/bi_contract.py,IMPLEMENTED,
period_comparison_view,bi_analyst,analytics_execution_spec.md 2.3,engine/bi_contract.py,IMPLEMENTED,
breakdown_view,bi_analyst,analytics_execution_spec.md 2.2,engine/bi_contract.py,IMPLEMENTED,
filter,bi_analyst,business_dimensions.md,engine/dimension_resolver.py,IMPLEMENTED,
drilldown,bi_analyst,analytics_execution_spec.md 2.2,engine/analytics_planner.py,IMPLEMENTED,
dashboard_narrative,bi_analyst,answer_contract.md,engine/answer_renderer.py,IMPLEMENTED,
metric_definition_surface,bi_analyst,semantic_metric_registry.csv,engine/bi_contract.py,IMPLEMENTED,
data_quality_indicator,bi_analyst,data_quality_registry.csv,engine/bi_contract.py,IMPLEMENTED,
executive_summary,management_reporting_analyst,Phase 6 brief 7,engine/executive_summary.py,IMPLEMENTED,
management_briefing,management_reporting_analyst,Phase 6 brief 3,engine/executive_summary.py,IMPLEMENTED,
what_changed,management_reporting_analyst,Phase 6 brief 4,engine/change_detection.py,IMPLEMENTED,Change direction is computed; materiality is undefined because insight_generation_spec.md 2 condition 3 leaves the threshold to a business decision. Not determinable from exported evidence.
attention_required,decision_support_analyst,Phase 6 brief 6,engine/executive_summary.py,IMPLEMENTED,
pending_decision,decision_support_analyst,ai_trust_policy.md 2,engine/executive_summary.py,IMPLEMENTED,
investigation_priority,decision_support_analyst,insight_generation_spec.md 4,engine/insight_ranker.py,IMPLEMENTED,
dq_scan,risk_dq_analyst,data_quality_report.md,engine/insight_engine.py,IMPLEMENTED,
conflict_surface,risk_dq_analyst,conflicts.md,engine/insight_engine.py,IMPLEMENTED,
trust_advisory,risk_dq_analyst,ai_trust_policy.md,engine/analyst_intelligence.py,IMPLEMENTED,
risk_ranking,risk_dq_analyst,insight_generation_spec.md 4,engine/insight_ranker.py,IMPLEMENTED,
