id,organization_id,context,booking_id,tenant_id,created_by,created_at
efa0b9fd-ff4d-46ef-ae83-5c79177fa876,00000000-0000-0000-0000-000000000001,booking,944f619a-6c14-4de8-8dae-91a253cabb83,9defe9e8-4059-ba6b-5abd-0d1304e73008,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-07 07:36:47.031665+00
ad9f6afe-a403-4549-834c-e0857c85f33f,00000000-0000-0000-0000-000000000001,onboarding,null,9defe9e8-4059-ba6b-5abd-0d1304e73008,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-07 07:56:38.295931+00
330e7755-8ee6-4f18-a83c-111791758c8f,00000000-0000-0000-0000-000000000001,onboarding,null,d5ef5788-b130-4329-b2e7-5e0112badb3b,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-07 08:48:33.130115+00
ad34c8d3-07c1-4d3f-aec1-8bb67411b959,00000000-0000-0000-0000-000000000001,booking,b11dc1e6-b9dc-4e42-aa2d-744bec5b8106,0f9eb102-09ca-440e-adfa-ded3e743f533,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-10 05:31:13.594004+00
d3647e49-2ccd-4acf-ad87-04ef4e5ee40a,00000000-0000-0000-0000-000000000001,onboarding,null,2e7429df-04ff-40b8-8b77-da551c9573fa,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-10 12:13:00.787154+00
7dffdc4a-a100-45e9-8795-5b172fde258a,00000000-0000-0000-0000-000000000001,onboarding,null,0f9eb102-09ca-440e-adfa-ded3e743f533,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-11 09:14:50.850922+00
6dd9f262-73e1-4a6a-9512-068bb5c11c36,00000000-0000-0000-0000-000000000001,booking,28420725-90ac-4266-842b-9b183a97b3ff,21f9320d-9d9a-458d-930b-a7442b24b980,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-11 12:46:05.291292+00
788f646a-3148-43da-9496-ffdf40d058a1,00000000-0000-0000-0000-000000000001,onboarding,null,9defe9e8-4059-ba6b-5abd-0d1304e73008,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-12 12:47:47.356711+00
c8e6f71d-bc12-4127-a7c2-e616bce97b51,00000000-0000-0000-0000-000000000001,onboarding,null,9defe9e8-4059-ba6b-5abd-0d1304e73008,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-12 12:52:34.803406+00
b3752a13-02e7-4801-ab23-fb42b0c8ab83,00000000-0000-0000-0000-000000000001,booking,44af6e31-36ec-4fca-846f-d7b1dd70b150,77b2e309-ea53-4c9f-acdc-0ed179ba52b2,b48573e1-c1d9-45dd-ac6c-f08fef9c997c,2026-08-15 11:04:50.334502+00
