id,organization_id,role,module,can_create,can_read,can_update,can_delete,created_at,updated_at
2330a2ab-096f-43b0-ab76-decd5f8470e1,00000000-0000-0000-0000-000000000001,super_admin,tickets,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:48.136+00
2c980610-a9e4-4a09-8de6-546dd0086a16,00000000-0000-0000-0000-000000000001,property_manager,tickets,true,true,true,false,2026-03-19 09:33:07.518719+00,2026-03-19 09:33:07.518719+00
2f915d32-63b2-4967-854e-e433ff984d28,00000000-0000-0000-0000-000000000001,org_admin,tenant_lifecycle,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:48.814+00
2fe01001-4819-4e2d-b1e5-9f45c4e98d29,00000000-0000-0000-0000-000000000001,super_admin,properties,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:42.736+00
31c3ece6-ff99-4d52-a941-a16c04726b88,00000000-0000-0000-0000-000000000001,org_admin,accounting,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:51.316+00
3721218e-a90a-4eef-9af8-fa9781cbc7eb,00000000-0000-0000-0000-000000000001,org_admin,team,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:53.569+00
44fc2b88-13db-418e-87dd-1a0815bacd54,00000000-0000-0000-0000-000000000001,super_admin,owners,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:42.986+00
4950be5b-6813-4f28-9e03-4bb0a8f6a9f0,00000000-0000-0000-0000-000000000001,property_manager,accounting,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-10 06:35:46.798+00
67162fb9-724d-45aa-b602-06f47b254efb,00000000-0000-0000-0000-000000000001,super_admin,reports,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:53.628+00
69398423-c49c-4663-ad58-7db8f9c5cebe,00000000-0000-0000-0000-000000000001,property_manager,properties,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-10 06:36:49.531+00
6aa385b0-99ec-4e06-ab45-413e527f6a25,00000000-0000-0000-0000-000000000001,org_admin,owners,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:48.609+00
6d3eb851-364a-4c11-a9f7-e68230dd6b65,00000000-0000-0000-0000-000000000001,property_manager,electricity,true,true,true,false,2026-03-19 09:33:07.518719+00,2026-03-31 05:14:16.363+00
838829c0-3134-4009-ac55-ad781aee7b57,00000000-0000-0000-0000-000000000001,org_admin,assets,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:49.943+00
8f2963d7-fc73-4ec1-91c6-e1a53ff3f40c,00000000-0000-0000-0000-000000000001,property_manager,dashboard,true,true,false,false,2026-03-19 09:33:07.518719+00,2026-03-25 14:20:16.283+00
8f96d14c-682c-48c3-8e47-31516c9f63be,00000000-0000-0000-0000-000000000001,org_admin,tickets,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:50.748+00
a279f4e1-88b0-406c-9740-345020036d82,00000000-0000-0000-0000-000000000001,property_manager,tenant_lifecycle,true,true,true,false,2026-03-19 09:33:07.518719+00,2026-03-19 09:33:07.518719+00
a33c2314-a06e-4ffe-b5f7-978ce0b5b4a3,00000000-0000-0000-0000-000000000001,employee,tickets,false,true,true,false,2026-03-19 09:33:07.518719+00,2026-03-19 09:33:07.518719+00
aa778e59-2f50-4318-9f2a-4556810dfe2b,00000000-0000-0000-0000-000000000001,property_manager,tenants,false,false,false,false,2026-03-19 09:33:07.518719+00,2026-03-23 07:10:44.006+00
c220c63b-a1a7-454c-865f-00c9bc0c0be6,00000000-0000-0000-0000-000000000001,org_admin,settings,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:53.769+00
c9b98309-d123-49a9-8163-4014919d3b31,00000000-0000-0000-0000-000000000001,org_admin,tenants,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:48.71+00
caee4af2-cd49-4dfc-9cc6-d00c7fdbc78b,00000000-0000-0000-0000-000000000001,super_admin,accounting,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:49.401+00
ce0842b7-6594-495a-954a-5b9bbd1d500c,00000000-0000-0000-0000-000000000001,super_admin,audit_logs,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:55.709+00
d8d0945b-a7cd-49b9-8abe-36176343dd64,00000000-0000-0000-0000-000000000001,super_admin,settings,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:55.997+00
dcf15f90-9054-4bbe-a605-9125f81a0047,00000000-0000-0000-0000-000000000001,org_admin,reports,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:52.888+00
dfcd8ec4-f9e5-46e0-9a08-48f7e7db9b7f,00000000-0000-0000-0000-000000000001,org_admin,dashboard,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:48.358+00
e151f505-ea8f-4a7d-8269-d9a37eae2f14,00000000-0000-0000-0000-000000000001,super_admin,dashboard,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:42.405+00
e61a78b3-c94a-4441-a83e-c1c1a22e19bc,00000000-0000-0000-0000-000000000001,super_admin,tenants,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:43.234+00
e9b3917a-479a-41a6-b9f2-90bd25cc87a3,00000000-0000-0000-0000-000000000001,org_admin,audit_logs,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:53.668+00
eaa305ae-eb1d-4c41-bd3c-419df6d479fd,00000000-0000-0000-0000-000000000001,org_admin,electricity,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:52.468+00
ebca6df7-fe05-4207-856a-dbedc424a7b9,00000000-0000-0000-0000-000000000001,org_admin,properties,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-08 10:00:48.512+00
ed62abce-12e8-42a1-98c4-b7cacc75c96d,00000000-0000-0000-0000-000000000001,super_admin,team,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:55.475+00
f8c87a1d-d3c2-4474-b7a1-da1158e8b326,00000000-0000-0000-0000-000000000001,super_admin,electricity,true,true,true,true,2026-03-19 09:33:07.518719+00,2026-04-19 14:36:52.564+00
ffe16aab-96e9-4489-aaa9-01637cf07556,00000000-0000-0000-0000-000000000001,property_manager,assets,true,true,true,false,2026-03-19 09:33:07.518719+00,2026-03-19 09:33:07.518719+00
330f9171-c706-4e59-ba7a-e1fb470ea1b1,00000000-0000-0000-0000-000000000001,org_admin,announcements,true,true,true,true,2026-03-23 09:00:03.512814+00,2026-04-08 10:00:53.461+00
030d7e32-92a2-44c0-8314-95342624390d,00000000-0000-0000-0000-000000000001,super_admin,announcements,true,true,true,true,2026-03-31 05:41:34.747055+00,2026-04-19 14:36:55.191+00
a37e52b8-39ec-467e-9c18-cc013211a33e,00000000-0000-0000-0000-000000000001,employee,assets,false,true,false,false,2026-03-31 05:43:46.7867+00,2026-03-31 05:43:46.7867+00
44f69086-295a-4433-97dc-1c8b8bd367b3,00000000-0000-0000-0000-000000000001,employee,dashboard,false,true,false,false,2026-03-31 05:45:21.18787+00,2026-03-31 05:45:21.18787+00
5b628e54-90a8-446c-ba04-4fae969dbc64,00000000-0000-0000-0000-000000000001,employee,electricity,false,true,false,false,2026-03-31 05:45:38.700918+00,2026-03-31 05:45:38.700918+00
937f1187-9577-4575-91d0-49f9d2a5a568,00000000-0000-0000-0000-000000000001,super_admin,tenant_lifecycle,true,true,true,true,2026-04-01 07:16:47.268436+00,2026-04-19 14:36:43.496+00
b3bd0c21-cfe3-4523-83eb-b8ba9d524a38,00000000-0000-0000-0000-000000000001,admin,Dashboard,true,true,true,true,2026-04-03 11:28:42.91912+00,2026-04-03 11:28:42.91912+00
21894e6f-c24b-4f29-a9a6-bdcd7b940ae9,00000000-0000-0000-0000-000000000001,admin,Properties,true,true,true,true,2026-04-03 11:28:43.553665+00,2026-04-03 11:28:43.553665+00
adac0347-07d9-43f9-a79e-a9566653527d,00000000-0000-0000-0000-000000000001,admin,Tenants,true,true,true,true,2026-04-03 11:28:44.154648+00,2026-04-03 11:28:44.154648+00
51f0167b-8521-4f70-9e7e-e5e37cf2d1bf,00000000-0000-0000-0000-000000000001,admin,Tenant Lifecycle,true,true,true,true,2026-04-03 11:28:44.717768+00,2026-04-03 11:28:44.717768+00
77546430-e300-4a81-b3af-8d98074d8c93,00000000-0000-0000-0000-000000000001,admin,Assets,true,true,true,true,2026-04-03 11:28:45.303439+00,2026-04-03 11:28:45.303439+00
b8857f32-dae3-4cac-99ac-6ef07330d15b,00000000-0000-0000-0000-000000000001,admin,Accounting,true,true,true,true,2026-04-03 11:28:45.886054+00,2026-04-03 11:28:45.886054+00
bbc679ac-b1b9-4fe6-97f5-e4150f434027,00000000-0000-0000-0000-000000000001,admin,Electricity,true,true,true,true,2026-04-03 11:28:46.427349+00,2026-04-03 11:28:46.427349+00
9ef7059b-7f09-41d6-8e97-d5c781134957,00000000-0000-0000-0000-000000000001,admin,Reports,true,true,true,true,2026-04-03 11:28:46.968464+00,2026-04-03 11:28:46.968464+00
5bcc4caf-5189-48dd-8176-5d7270fa17dd,00000000-0000-0000-0000-000000000001,admin,Tickets,true,true,true,true,2026-04-03 11:28:47.500976+00,2026-04-03 11:28:47.500976+00
e9a015b3-7a9d-43b8-8977-e76af56a50fd,00000000-0000-0000-0000-000000000001,admin,Settings,true,true,true,true,2026-04-03 11:28:48.050854+00,2026-04-03 11:28:48.050854+00
050269a2-b3b4-478d-8708-88547ba253b0,00000000-0000-0000-0000-000000000001,property_manager,Dashboard,true,true,true,true,2026-04-04 05:32:12.460446+00,2026-04-08 09:09:46.729+00
b03899ea-8b04-4cbe-8632-1cf09435d8cb,00000000-0000-0000-0000-000000000001,property_manager,Properties,true,true,true,true,2026-04-04 05:32:13.254785+00,2026-04-08 09:09:47.363+00
f9a67d4d-1fe8-46b1-8e3f-e5ddff6989e6,00000000-0000-0000-0000-000000000001,property_manager,Tenants,false,true,false,false,2026-04-04 05:32:13.939844+00,2026-04-08 09:09:47.916+00
