metric_id,metric_name,business_area,definition,source_tables,source_views,source_functions,date_field,filters,aggregation,grain,reversal_policy,soft_delete_policy,duplicate_policy,historical_coverage,conflict_ids,dq_ids,ai_trust_status,validation_target,notes
M.REV.001,"Revenue (total, ledger-derived)",Financial,"SUM(signed_amount) WHERE account_type='INCOME', reversal-excluded convention (v_account_balances).","journal_lines, journal_entries, coa_accounts","v_pnl (F.001), v_revenue_by_period (F.003)",None required -- fully reconstructable from raw ledger tables,journal_entries.entry_date (journal_lines carries this denormalised at export),coa_accounts.account_type = 'INCOME',"SUM(signed_amount), signed_amount = CASE normal_balance WHEN 'CREDIT' THEN credit-debit ELSE debit-credit END",org=organization_id (single org in this dataset); property=property_id (v_pnl grain includes property_id; some manual/unlinked postings carry NULL property_id); tenant/allotment=Not applicable at this aggregate level,EXCLUDED: WHERE is_reversal_of IS NULL AND NOT EXISTS(reversal-of-this-entry). Proven equivalent in total to the reversal-INCLUDED convention (balances net to zero identically) -- see conflicts.md C.002.,"Not directly filtered here -- a soft-deleted source row's reversal entry is excluded by the same is_reversal_of rule, so its net ledger contribution is already zero.","Not applicable to the ledger total itself (duplicates live at the source-row level, e.g. invoices -- see M.INV.001/DQ.013). A duplicate invoice that was actually paid and posted DOES inflate ledger revenue; this reconstruction does not de-duplicate at the ledger layer.",Ledger (journal_entries.entry_date): 2019-11-03 to 2026-09-20 (54 months with ledger activity; business_logic.md 9). Revenue accounts specifically active across the ledger's full span.,,,SAFE,"F.001 v_pnl.revenue (validated: REV.01, exact match, Rs.72,705,593.43 both sides)",Validated by scripts/validation/validate_revenue.py
M.REV.002,Revenue by month,Financial,"GROUP BY organization_id, property_id, date_trunc('month', entry_date) of M.REV.001's reconstruction.","journal_lines, journal_entries, coa_accounts",v_pnl (F.001),None,"entry_date, truncated to calendar month",account_type='INCOME',"SUM(signed_amount) per (property_id, month)","org=organization_id; property=property_id -- REQUIRED as part of the grain: a month with both a real-property posting and a NULL-property ('manual') posting produces two separate rows, not one; tenant/allotment=Not applicable",Same as M.REV.001 (excluded convention),Same as M.REV.001,Same as M.REV.001,"53 distinct calendar months of INCOME activity within the ledger's 54-month span (one month has expense-only activity, no income).",,,SAFE,"F.001 v_pnl, monthly rows (validated: REV.02, 57 of 57 (property,month) rows match in VALUE exactly; monthly_validation/revenue_by_month.csv). Row-count differs (55 reconstructed vs 57 in the view) only because v_pnl includes 2 EXPENSE-only months with revenue=0 that an income-only reconstruction never creates a row for -- both sides are Rs.0 for those months, confirmed by inspection.",monthly_validation/revenue_by_month.csv
M.COL.001,Collections (application-level),Financial,SUM(receipts.amount_paid) WHERE NOT is_deleted,receipts,None (no dedicated collections view is exported),"get_universal_metrics / get_universal_metrics_v2 compute period-scoped versions of this (bodies exported, no output data)",payment_date,is_deleted = false,SUM(amount_paid); deposit_collections = SUM(amount_paid) WHERE receipt_type='booking'; totalCollectionsWithoutDeposit = total - deposit_collections,"org=organization_id; property=Not carried on receipts directly -- would require a join through tenant_allotments; tenant/allotment=tenant_id, tenant_allotment_id available for drill-down","NOT APPLICABLE -- this is a source-table definition, not ledger-derived. See M.COL.003 for the ledger-derived counterpart, which IS reversal-sensitive.","LIVE ROWS ONLY: is_deleted = false. This is the application's own convention, confirmed by get_universal_metrics' own SQL.","NOT applied. DQ.014 shows 11 of 5858 live receipts are still-undeduplicated flagged duplicates (0.15% of receipts) after a partial, non-remediated dedup pass.","2022-11-30 to 2026-08-28 (46 months, receipts.payment_date; business_logic.md 9).",C.014,DQ.006;DQ.014,DISCLOSE,"No dedicated business view exists to validate the total against; validated instead against H.001's legacy_amount for receipts (COLL.01, exact match Rs.81,855,686.97).",Validated by scripts/validation/validate_collections.py
M.COL.002,Collections by month,Financial,"GROUP BY date_trunc('month', payment_date) of M.COL.001's reconstruction.",receipts,None,None,"payment_date, truncated to month",is_deleted=false,SUM(amount_paid) per month; deposit vs non-deposit split retained,org=organization_id; property=Not carried (see M.COL.001); tenant/allotment=Not applicable at this grain,Not applicable (source-table definition),Live rows only,Not applied -- see M.COL.001,46 months (2022-11 to 2026-08).,C.014,DQ.006;DQ.014,DISCLOSE,"No exported view; recorded as a first computation (monthly_validation/collections_by_month.csv, 46 months).",monthly_validation/collections_by_month.csv
M.COL.003,Collections (ledger-derived),Financial,"SUM(debit) WHERE journal_entries.source_table='receipts' AND account_code IN ('1110','1120'), reversal-excluded.","journal_lines, journal_entries, coa_accounts","None dedicated (get_universal_metrics_v2 computes this internally, no exported output)","get_universal_metrics_v2 (body exported, logic reproduced here)",journal_entries.entry_date,"source_table='receipts' AND code IN ('1110','1120')",SUM(debit) over reversal-excluded lines -- reversal entries and the forward entries they reverse are both dropped.,org=organization_id; property=Not directly carried on cash-account lines; tenant/allotment=Not applicable at this aggregate,"EXCLUDED -- the v_account_balances convention: reversal entries and the forward entries they reverse are both dropped. This is the convention get_universal_metrics_v2's own v_collections SQL applies (je.is_reversal_of IS NULL AND NOT EXISTS a reversal of je.id). Equivalent to debit-minus-credit netting over the same rows: 112 reversal credits totalling Rs.5,357,078.07 exactly offset the 112 reversed forward debits.",Not directly filtered -- inherited via the reversal mechanism (a soft-deleted receipt's forward entry is offset by its reversal).,Not applied at the ledger layer.,Same ledger window as receipts-sourced postings (46 months of receipts activity within the ledger's 2019-2026 span).,C.014,DQ.006;DQ.030,DISCLOSE,"No same-definition comparable reference is wired, so this metric is UNVERIFIED. COLL.02 (H.001 v_je_amount_reconciliation je_net_amount, Rs.87,196,482.59) is supporting evidence only and is NOT this metric's reference: H.001's own formula, CASE WHEN is_reversal_of IS NULL THEN debit ELSE -debit END, never subtracts anything because reversal lines carry credit and not debit, so it reports gross debit including reversed forwards. COLL.03 is a code-defect proof for DQ.030, also supporting evidence only. Live value of this metric: Rs.81,839,404.52.",Also used to PROVE DQ.030 (get_universal_metrics_series' wrong account_code='1000' filter returns Rs.0.00 exactly against 0 rows -- validate_collections.py COLL.03).
M.INV.001,Invoice billed amount,Financial,SUM(invoices.total_amount) WHERE NOT is_deleted,invoices,"v_export_invoices (redundant wrapper, not used -- base table exported directly)",None required,"COALESCE(invoice_date, (billing_month||'-01')::date, created_at::date) per get_universal_metrics; invoice_date alone for a simpler reconstruction",is_deleted = false,SUM(total_amount),"org=organization_id; property=property_id (via tenant_allotments join if needed; invoices itself does not carry property_id directly per its exported columns -- Not determinable whether it does without re-checking M.004); tenant/allotment=tenant_id, allotment_id available directly on invoices",NOT APPLICABLE -- source-table definition. See conflicts.md C.015 for the ledger-derived counterpart's reversal handling.,"LIVE ROWS ONLY: is_deleted = false, matching get_universal_metrics' own filter.","NOT applied. DQ.013 shows 356 of 5214 live invoices (6.8%) are excess rows in 322 duplicate groups (same allotment+billing_month+invoice_type), with NO application-level deduplication mechanism at all.",2023-02-05 to 2026-09-20 (44 months plus a small tail of forward-dated rows to 2026-09-20; business_logic.md 9).,C.015;C.020,DQ.007;DQ.013,DISCLOSE,"No single exported view sums invoices.total_amount alone; cross-checked against H.001's legacy_amount for invoices (Rs.72,405,785.40) and against v_je_amount_reconciliation's ledger-net figure (Rs.74,829,055.40, INVESTIGATE, Rs.2,423,270.00 gap -- DQ.007/C.015).",
M.INV.002,Invoice count,Financial,"COUNT(*) FROM invoices WHERE NOT is_deleted, optionally grouped by invoice_type/status.",invoices,None,None,invoice_date or billing_month depending on the question,is_deleted = false,COUNT(*),org=organization_id; property=Via join if needed; tenant/allotment=Via join if needed,Not applicable,Live rows only,"NOT applied by default -- see DQ.013. A duplicate-aware count would be 5214-356=4858 unique (allotment,billing_month,invoice_type) invoices.",Same as M.INV.001 (2023-02 to 2026-09).,,DQ.013,DISCLOSE,H.035 (invoice_type_status_matrix) provides an independent breakdown by type/status/reference_type; total row count (5214) matches M.006's exact count directly.,
M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),Financial,"SUM(signed_amount) WHERE account_code='1200' AND party_kind='tenant', GROUP BY tenant_id, allotment_id, from v_account_balances.","journal_lines, journal_entries, coa_accounts",v_outstanding_receivables (F.006),None,entry_date (for last_charge_date/last_payment_date only; not a filter on the balance itself),account_code='1200' AND party_kind='tenant',"SUM(signed_amount) per (tenant_id, allotment_id)","org=organization_id; property=Not carried directly (would need a join through tenant_allotments); tenant/allotment=tenant_id, allotment_id",EXCLUDED (v_account_balances convention: WHERE is_reversal_of IS NULL AND NOT reversed).,Inherited via reversal exclusion -- a soft-deleted invoice/receipt/adjustment's reversed entries are excluded.,Not applied at the ledger layer.,"Ledger span, 2019-11 to 2026-09.",C.001;C.002;C.005,DQ.002;DQ.037,SHOW_BOTH,"F.006 v_outstanding_receivables (validated: AR.01, exact match Rs.83,297.85).",One of FOUR competing tenant-balance definitions -- see AR.001A-D collectively. Never expose alone without disclosing the others exist.
M.AR.001B,Tenant dues -- Def B: v_tenant_current_dues (reversals included),Financial,"Per-account SUM(debit-credit or credit-debit) for accounts 1200/2100/2400, GROUP BY tenant_id, allotment_id, from raw journal_lines (no reversal filter).","journal_lines, journal_entries, coa_accounts",v_tenant_current_dues (F.007),None,"entry_date (for last_charge_date/last_payment_date, charge_count/payment_count)","party_kind='tenant' AND code IN ('1200','2100','2400')","SUM per (tenant_id, allotment_id); ar_balance = net_dues (account 1200 only); deposit_held (2100); booking_advance (2400)","org=organization_id; property=Not carried directly; tenant/allotment=tenant_id, allotment_id",INCLUDED -- no is_reversal_of filter. charge_count/payment_count DO double-count a reversed-and-reposted charge (row counts are NOT reversal-neutral even though dollar totals are).,No explicit filter -- relies on the reversal mechanism to net out soft-deleted sources.,Not applied.,"Ledger span, 2019-11 to 2026-09.",C.001;C.002;C.005,DQ.002;DQ.037,SHOW_BOTH,"F.007 v_tenant_current_dues (validated: AR.02, exact match Rs.83,297.85; AR.03 proves A==B for the total).",One of FOUR competing tenant-balance definitions.
M.AR.001C,Tenant dues -- Def C: application tenant_allotments.balance_due,Financial,"tenant_allotments.balance_due, as stored (no reconstruction logic -- it is itself the source).",tenant_allotments,None,Not determinable from exported evidence (the writer of this column is not among the 25 exported function bodies),"Not applicable (a current-value column, not an event)",None (or staying_status filter if scoping to current tenants),"SUM(balance_due) for a portfolio total, or read per-row for one allotment","org=organization_id; property=property_id (carried directly on tenant_allotments); tenant/allotment=tenant_id, allotment_id (this IS the grain)",NOT APPLICABLE -- not ledger-derived at all.,Not applicable (tenant_allotments has no is_deleted column in its exported columns),Not applicable.,Reflects whatever was last written to this column -- not a time series.,C.001;C.005,DQ.002;DQ.037,BLOCK,"No exported view/diagnostic pre-sums this column; summed directly in this pass (validate_receivables.py: Rs.1,009,125.78 over 97 allotments >0).",One of FOUR competing tenant-balance definitions. BLOCK: never state this as THE tenant balance without disclosing the other three.
