section,metric_id,display_name,domain,trust_level,headline_permitted,widget,render_rule,render_directive,definition_count,conflict_ids,dq_ids,validation_status,confidence,evidence,drilldown_available,caveat
Business Health,M.REV.001,"Revenue (total, ledger-derived)",Financial,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,,MATCH,HIGH,T.journal_lines;T.journal_entries;T.coa_accounts;F.001;F.003,True,
Business Health,M.COL.001,Collections (application-level),Financial,DISCLOSE,True,kpi_card_with_caveat,"Single value; the caveat is rendered WITH the number, never behind a tooltip the owner may not open.",render_single_value,0,C.014,DQ.006;DQ.014,MATCH,MEDIUM,T.receipts;FN.get_universal_metrics;FN.get_universal_metrics_v2,True,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.006;DQ.014. See conflicts.md C.014."
Business Health,M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),Financial,SHOW_BOTH,False,multi_definition_panel,"Every competing definition, separately labelled, plus the numeric spread. No single figure, no default, no average.",render_all_definitions_labelled,4,C.001;C.002;C.005,DQ.002,MATCH,SPLIT,T.journal_lines;T.journal_entries;T.coa_accounts;F.006,True,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.001;C.002;C.005 for the full comparison.
Business Health,M.EXP.001,"Expenses (total, ledger-derived)",Financial,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,,MATCH,HIGH,T.journal_lines;T.journal_entries;T.coa_accounts;F.001,True,
Business Health,M.PROFIT.001,Gross/net profit (3 definitions),Financial,BLOCK,False,conflict_panel_no_headline,"No headline figure at all. The panel explains why, names the conflicts, lists each definition's own value, and surfaces the owner decision required.",render_conflict_explanation_no_headline,3,C.010;C.011,DQ.016;DQ.017,PARTIAL,BLOCKED,T.journal_lines;T.journal_entries;T.coa_accounts;T.invoices;T.expenses,True,BLOCKED: do not state a single number for this metric. Conflicting definitions exist (see conflicts.md C.010;C.011). See data_quality_report.md DQ.016;DQ.017.
Business Health,M.DEP.001,Deposit held,Financial,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,DQ.011;DQ.012,MATCH,HIGH,T.journal_lines;T.journal_entries;T.coa_accounts;F.010,True,
Business Health,M.OWN.001,Owner payments (source total),Financial,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,DQ.017;DQ.020,MATCH,HIGH,T.owner_payments,True,
Business Health,M.CASH.001,Cash balance,Financial,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,,UNVERIFIED,"HIGH (by construction, not independently re-validated)",T.journal_lines;T.journal_entries;T.coa_accounts;F.011,True,
Operations,M.OCC.001,Current occupancy (5+ definitions),Operations,SHOW_BOTH,False,multi_definition_panel,"Every competing definition, separately labelled, plus the numeric spread. No single figure, no default, no average.",render_all_definitions_labelled,5,C.006;C.007;C.008;C.009,DQ.004;DQ.005,MATCH,SPLIT,T.beds;T.apartments;T.tenant_allotments;F.005;F.022,True,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.006;C.007;C.008;C.009 for the full comparison.
Operations,M.TEN.001,Staying tenants,Operations,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,DQ.003,MATCH,HIGH,T.tenant_allotments;F.022,True,
Operations,M.TEN.002,On-Notice tenants,Operations,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,C.009,DQ.005,MATCH,HIGH,T.tenant_allotments;F.005,True,
Operations,M.TEN.003,Booked beds,Operations,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,,MATCH,HIGH,T.beds;T.tenant_allotments;F.005;F.022;FN.get_universal_metrics,True,
Operations,M.LIFE.002,Move-ins,Operations,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,,UNVERIFIED,"HIGH (by construction, not independently re-validated)",T.tenant_allotments;F.017,True,
Operations,M.LIFE.003,Move-outs,Operations,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,,UNVERIFIED,"HIGH (by construction, not independently re-validated)",T.tenant_allotments;F.017,True,
Operations,M.MAINT.001,Maintenance volume,Operations,SAFE,True,kpi_card,Single value with its validation status.,render_single_value,0,,DQ.027,MATCH,HIGH,T.maintenance_tickets;F.015,True,
Operations,M.EB.001,EB/electricity usage and cost,Operations,DISCLOSE,True,kpi_card_with_caveat,"Single value; the caveat is rendered WITH the number, never behind a tooltip the owner may not open.",render_single_value,0,,DQ.021;DQ.028,MATCH,MEDIUM,T.electricity_readings;T.eb_payments;T.eb_rates;T.eb_monitoring_readings,True,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.021;DQ.028."
Risks,M.RISK.004,Phantom deposits,Risk & Data Quality,DISCLOSE,True,kpi_card_with_caveat,"Single value; the caveat is rendered WITH the number, never behind a tooltip the owner may not open.",render_single_value,0,,DQ.011,PARTIAL,MEDIUM,T.tenant_allotments;T.deposit_settlements;H.045,True,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.011."
Risks,M.RISK.005,Duplicate invoices,Risk & Data Quality,DISCLOSE,True,kpi_card_with_caveat,"Single value; the caveat is rendered WITH the number, never behind a tooltip the owner may not open.",render_single_value,0,C.020,DQ.013,MATCH,MEDIUM,T.invoices;H.055,True,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.013. See conflicts.md C.020."
Risks,M.RISK.007,Overlapping allotments,Risk & Data Quality,DISCLOSE,True,kpi_card_with_caveat,"Single value; the caveat is rendered WITH the number, never behind a tooltip the owner may not open.",render_single_value,0,,DQ.003,DIFFERS,MEDIUM,T.tenant_allotments;H.056,True,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.003."
Risks,M.RISK.008,Ledger/source reconciliation,Risk & Data Quality,DISCLOSE,True,kpi_card_with_caveat,"Single value; the caveat is rendered WITH the number, never behind a tooltip the owner may not open.",render_single_value,0,C.014;C.015;C.016,DQ.006;DQ.007;DQ.008,UNVERIFIED,MEDIUM,H.001,True,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.006;DQ.007;DQ.008. See conflicts.md C.014;C.015;C.016."
