scenario,category,expectation,owner_intent,analyst_lenses,metric_ids,trust_level,answer_shape,headline_exposed,causal_claim,pii_clean,chain_complete,verdict,reason
How much revenue did we make?,revenue,value,metric_question,"financial_analyst,data_analyst",M.REV.001,SAFE,value,True,,True,True,PASS,
How much did we collect?,collections,clarify,metric_question,data_analyst,,,clarify,False,,True,True,PASS,
How much do tenants owe?,tenant dues,multi,metric_question,"financial_analyst,data_analyst,risk_dq_analyst","M.AR.001A,M.AR.001B,M.AR.001C,M.AR.001D",SHOW_BOTH,multi,False,,True,True,PASS,
What is occupancy?,occupancy,multi,metric_question,"operations_analyst,data_analyst,risk_dq_analyst",M.OCC.001,SHOW_BOTH,multi,False,,True,True,PASS,
What's our profit?,profit,multi,metric_question,"financial_analyst,data_analyst,risk_dq_analyst",M.PROFIT.001,BLOCK,multi,False,,True,True,PASS,
Which expense category is largest?,expenses,value,metric_question,"financial_analyst,data_analyst",M.EXP.001,SAFE,value,True,,True,True,PASS,
How much deposit is held?,deposits,value,metric_question,"financial_analyst,data_analyst",M.DEP.001,SAFE,value,True,,True,True,PASS,
How many maintenance tickets were raised?,maintenance,value,metric_question,"operations_analyst,data_analyst",M.MAINT.001,SAFE,value,True,,True,True,PASS,
What was our electricity cost?,EB,value,metric_question,"operations_analyst,data_analyst,risk_dq_analyst",M.EB.001,DISCLOSE,value,True,,True,True,PASS,
Why did profit fall?,why,multi,metric_question,"financial_analyst,data_scientist,business_analyst,risk_dq_analyst",M.PROFIT.001,BLOCK,multi,False,,True,True,PASS,
What changed this month?,what changed,workflow,what_changed,"data_scientist,management_reporting_analyst,bi_analyst","M.REV.002,M.PNL.001,M.COL.002",,workflow,False,,True,False,PASS,
What should I do?,decision,workflow,what_to_do,"decision_support_analyst,business_analyst,risk_dq_analyst",,,workflow,False,,True,False,PASS,
What are our biggest financial risks?,risk,any,metric_question,"risk_dq_analyst,business_analyst","M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007",DISCLOSE,value,True,,True,True,PASS,
Which numbers should I trust?,trust,workflow,what_to_trust,"risk_dq_analyst,data_analyst","M.REV.001,M.REV.002,M.COL.001,M.COL.002,M.COL.003,M.INV.001",,workflow,False,,True,False,PASS,
Give me today's business summary,briefing,workflow,briefing,"management_reporting_analyst,business_analyst,risk_dq_analyst","M.REV.001,M.COL.001,M.AR.001A,M.EXP.001,M.PROFIT.001,M.DEP.001",,workflow,False,,True,False,PASS,
